项目（单位：万元）,中心/区域,板块业务分类,业务板块-分析汇报一级,组织标签,实际（营收）,预算（营收）,预算完成率（营收）,预实差异（营收）,同期（营收）,实际值（物资）,预算值（物资）,预算完成率（物资）,同期值（物资）,实际值（餐）,预算值（餐）,预算完成率（餐）,同期值（餐）,实际值（毛利）,预算值（毛利）,预算完成率（毛利）,同期值（毛利）,实际（毛利率）,预算（毛利率）,预实差异（毛利率）,同期（毛利率）,实际值（人力）,预算值（人力）,预算完成率（人力）,同期值（人力）,实际值（其他）,预算值（其他）,预算完成率（其他）,同期值（其他）,实际值（外收）,预算值（外收）,同期值（外收）,实际值（外支）,预算值（外支）,同期值（外支）,实际（利润）,预算（利润）,预算完成率（利润）,预实差异（利润）,同期（利润）,实际值（利润率）,预算值（利润率）,预实差异（利润率）,同期值（利润率）,实际值（人力成本率）,预算值（人力成本率）,预算完成率（人力成本率）,同期值（人力成本率）,实际值（创收）,预算值（创收）,预算完成率（创收）,同期值（创收）,实际值（创利）,预算值（创利）,预算完成率（创利）,同期值（创利）,实际值（人数）,预算值（人数）,预实差异（人数）,同期值（人数）,实际值（人均人力）,同期值（人均人力）,预算值（人均人力）,预实差异（人均人力）,看板取值标记
东部新拓配送业务1,三大区域,东部区域,增量,东部新拓配送业务1,0,"2,505.44",0.00%,"-2,505.44",0,0,"1,932.96",0.00%,0,0,0,,0,0,572.48,0.00%,0,,22.85%,-22.85%,,0,153.66,0.00%,0,0,130.19,0.00%,0,0,0,0,0,0,0,0,288.63,0.00%,-288.63,0,,11.52%,-11.52%,,,6.13%,0.00%,,-1,16.31,-6.13%,,-1,1.88,-53.24%,,0,26,-26,0,,,5.91,,
东部新拓配送业务3,三大区域,东部区域,增量,东部新拓配送业务3,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0.00%,0,0,,,0.00%,,,,,,-1,-1,100.00%,,-1,-1,100.00%,,0,0,0,0,,,,,
东部新拓配送业务5,三大区域,东部区域,增量,东部新拓配送业务5,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0.00%,0,0,,,0.00%,,,,,,-1,-1,100.00%,,-1,-1,100.00%,,0,0,0,0,,,,,
帕瓦项目,三大区域,东部区域,存量,帕瓦项目,0,0,,0,85.48,0,0,,0,0,0,,0,-1.49,0,,-11.95,,,0.00%,-13.98%,1.49,0,,97.43,0.26,0,,1.27,0,0,0,0,0,0.78,-1.74,0,0.00%,-1.74,-14,,,0.00%,-16.38%,,,,113.98%,0,-1,200.00%,0.88,-1.17,-1,83.05%,-0.14,0,0,0,19.86,,4.91,,,
东部区域总经理室,三大区域,东部区域,区域管理部门,东部区域总经理室,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,115.61,122.45,94.41%,65.36,51.82,26.6,194.78%,19.07,0,0,0,0,0,0,-167.43,-149.06,87.67%,-18.37,-84.43,,,0.00%,,,,94.41%,,0,0,,0,-1.45,-1.22,81.02%,-1.29,9.14,7.57,1.57,3.57,12.64,18.3,16.17,-3.53,
亳州配送,三大区域,东部区域,存量,亳州配送,"4,506.07","3,948.14",114.13%,557.93,0,"3,884.48","3,226.90",120.38%,0,0,0,,0,621.59,721.24,86.18%,0,13.79%,18.27%,-4.47%,,207.9,258.06,80.56%,0,271.05,227.38,119.21%,0,2.68,0,0,0.01,0,0,145.3,235.8,61.62%,-90.5,0,3.22%,5.97%,-2.75%,,4.61%,6.54%,80.56%,,21.67,15.3,141.67%,,0.7,0.91,76.48%,,59.43,62,-2.57,0,3.5,,4.16,-0.66,
嘉祥配送,三大区域,东部区域,存量,嘉祥配送,"1,066.32","1,173.00",90.91%,-106.68,480.34,972.24,"1,046.37",92.92%,464.39,0,0,,0,94.08,126.63,74.30%,15.95,8.82%,10.80%,-1.97%,3.32%,67.61,74.03,91.32%,44.21,36.89,34.2,107.86%,30.48,0,0,0,0.02,0,0,-10.44,18.39,-56.76%,-28.83,-58.75,-0.98%,1.57%,-2.55%,-12.23%,6.34%,6.31%,91.32%,9.20%,15.77,15.84,99.54%,10.86,-0.15,0.25,-62.15%,-1.33,15.14,19,-3.86,13.29,4.46,3.33,3.9,0.57,
利辛配送,三大区域,东部区域,存量,利辛配送,826.76,"1,342.06",61.60%,-515.3,0,691.77,"1,116.88",61.94%,0,0.56,0,,0,134.99,225.18,59.95%,0,16.33%,16.78%,-0.45%,,67.19,66.66,100.80%,0,84.6,112.53,75.18%,0,0,0,0,0.02,0,0,-17.37,45.99,-37.77%,-63.36,0,-2.10%,3.43%,-5.53%,,8.13%,4.97%,100.80%,,12.3,20.13,61.12%,,-0.26,0.69,-37.47%,,11.29,0,11.29,0,5.95,,,,
鸠江配送,三大区域,东部区域,增量,鸠江配送,42.4,970.5,4.37%,-928.1,0,39.63,786.16,5.04%,0,0,0,,0,2.77,184.34,1.50%,0,6.54%,18.99%,-12.46%,,10.14,55,18.44%,0,7.69,57.64,13.34%,0,0,0,0,0,0,0,-15.05,71.7,-20.99%,-86.75,0,-35.50%,7.39%,-42.88%,,23.91%,5.67%,18.44%,,4.18,17.65,23.70%,,-1.48,1.3,-113.86%,,0.57,0,0.57,0,17.74,,,,
武夷山餐饮项目,三大区域,东部区域,存量,武夷山餐饮项目,85.9,148.26,57.94%,-62.36,169.49,0,0,,0,42.97,76.18,56.40%,83.35,42.93,72.08,59.56%,86.13,49.98%,48.62%,1.36%,50.82%,25.15,31.58,79.64%,33.22,5.81,7.48,77.66%,0.5,0,0,0.17,0,0,0,11.97,33.02,36.25%,-21.05,52.59,13.93%,22.27%,-8.33%,31.03%,29.28%,21.30%,79.64%,19.60%,3.42,4.69,72.75%,5.1,0.48,1.05,45.52%,1.58,5.29,9.86,-4.57,8,4.76,4.15,3.2,1.55,
武夷山物业项目,三大区域,东部区域,存量,武夷山物业项目,13.02,15.36,84.77%,-2.34,50.92,0,0,,0,0,0,,0,0.38,0.2,188.21%,4.72,2.95%,1.33%,1.62%,9.28%,12.64,15.16,83.37%,46.2,0,0,,0.23,0,0,0,0,0,0,0.38,0.2,185.89%,0.18,4.49,2.92%,1.33%,1.59%,8.83%,97.05%,98.67%,83.37%,90.72%,1.03,1.01,101.67%,1.1,0.03,0.01,222.97%,0.1,3.71,13.71,-10,12.14,3.4,3.8,1.11,2.3,
武夷山便利店项目,三大区域,东部区域,存量,武夷山便利店项目,3.63,35,10.37%,-31.37,25.27,2.85,24.5,11.64%,8.67,0,0,,0,0.78,10.5,7.41%,16.6,21.44%,30.00%,-8.56%,65.68%,2.55,2.51,101.37%,4.62,0.7,2.93,23.91%,2.18,0.03,0,0.16,0,0,0,-2.44,5.06,-48.24%,-7.5,9.96,-67.22%,14.45%,-81.67%,39.42%,70.12%,7.17%,101.37%,18.26%,1.43,13.94,10.23%,5.48,-0.96,2.01,-47.59%,2.16,0.86,1,-0.14,1.71,2.97,2.69,2.51,0.46,
亳州食堂雇员派遣,三大区域,东部区域,增量,亳州食堂雇员派遣,450.07,360,125.02%,90.07,0,0,0,,0,2.73,0,,0,-79.1,53.71,-147.27%,0,-17.57%,14.92%,-32.49%,,529.17,306.29,172.76%,0,40.65,25.08,162.07%,0,0,0,0,0,0,0,-122.48,28.62,-427.90%,-151.1,0,-27.21%,7.95%,-35.16%,,117.57%,85.08%,172.76%,,0.85,1.18,72.36%,,-0.23,0.09,-247.68%,,152,65.29,86.71,0,3.48,,4.69,-1.21,
济宁高新区配送,三大区域,东部区域,增量,济宁高新区配送,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0.00%,0,0,,,0.00%,,,,,,-1,-1,100.00%,,-1,-1,100.00%,,0,0,0,0,,,,,
东部新拓配送业务1,三大区域,东部区域,增量,东部新拓配送业务1,0,"2,505.44",0.00%,"-2,505.44",0,0,"1,932.96",0.00%,0,0,0,,0,0,572.48,0.00%,0,,22.85%,-22.85%,,0,153.66,0.00%,0,0,130.19,0.00%,0,0,0,0,0,0,0,0,288.63,0.00%,-288.63,0,,11.52%,-11.52%,,,6.13%,0.00%,,-1,16.31,-6.13%,,-1,1.88,-53.24%,,0,26,-26,0,,,5.91,,
东部新拓配送业务3,三大区域,东部区域,增量,东部新拓配送业务3,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0.00%,0,0,,,0.00%,,,,,,-1,-1,100.00%,,-1,-1,100.00%,,0,0,0,0,,,,,
后勤财务管理部,战略支持中心,战略支持中心,后勤财务管理部,后勤财务管理部,0,0,,0,0,-21.5,0,,0,-8.05,-29.55,27.23%,0,29.55,29.55,99.99%,0,,,0.00%,100.00%,88.71,93.2,95.19%,66.78,13.51,13.92,97.05%,-25.26,0.83,0,0.08,0.26,0,0,-72.1,-77.57,107.05%,5.47,-41.44,,,0.00%,-4144062700.00%,,,95.19%,6678212800.00%,0,0,,0,-0.81,-0.83,102.35%,-0.62,6.14,7.57,-1.43,6.71,14.44,9.95,12.31,2.13,
后勤解决方案部,战略支持中心,战略支持中心,后勤解决方案部,后勤解决方案部,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,106.23,156.93,67.70%,107.85,46.85,29.55,158.56%,17.76,0,0,0,0.01,0,0,-153.09,-186.47,117.90%,33.38,-125.61,,,0.00%,,,,67.70%,,0,0,,0,-1.44,-1.19,78.73%,-1.16,6.57,11.43,-4.86,12,16.17,8.99,13.73,2.43,
后勤品牌战略部,战略支持中心,战略支持中心,后勤品牌战略部,后勤品牌战略部,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,98.04,100.99,97.08%,60.52,51.8,72.2,71.75%,-6.82,0,0,0.28,0,0,0,-149.84,-173.19,113.48%,23.35,-53.42,,,0.00%,,,,97.08%,,0,0,,0,-1.53,-1.71,110.88%,-0.88,7.86,8,-0.14,7.14,12.48,8.47,12.62,-0.15,
后勤人资管理部,战略支持中心,战略支持中心,后勤人资管理部,后勤人资管理部,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,121.09,120.85,100.20%,92.88,15.71,27.68,56.74%,-40.66,0,0,0,0,0,0,-136.8,-148.53,107.90%,11.73,-52.23,,,0.00%,,,,100.20%,,0,0,,0,-1.13,-1.23,108.08%,-0.56,9.71,12.43,-2.71,8.86,12.47,10.49,9.72,2.74,
后勤市场管理部,科创发展中心,科创发展中心,后勤市场管理部,后勤市场管理部,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,77.41,84.47,91.65%,27.62,38.8,64.52,60.13%,25.14,0,0,0,0,0,0,-116.21,-148.98,122.00%,32.77,-52.77,,,0.00%,,,,91.65%,,0,0,,0,-1.5,-1.76,114.89%,-1.91,3.71,4.57,-0.86,2.86,20.84,9.67,18.48,2.36,
后勤数智研发部,科创发展中心,科创发展中心,后勤数智研发部,后勤数智研发部,0,0,,0,10.99,0,0,,0,0,0,,0,0,0,,10.99,,,0.00%,100.00%,239.82,226.25,106.00%,170.47,30.9,31.75,97.34%,19.47,0,0,0,0,0,0,-270.72,-258,95.07%,-12.72,-178.95,,,0.00%,-1628.35%,,,106.00%,1551.21%,0,0,,0.06,-1.13,-1.14,101.01%,-1.05,11.86,13.86,-2,11,20.23,15.5,16.33,3.9,
后勤学院,战略支持中心,战略支持中心,后勤学院,后勤学院,0,0,,0,11.33,0,0,,0,0,0,,0,0,0,,11.33,,,0.00%,100.00%,67.16,61.18,109.77%,62.83,22.07,32.9,67.07%,17.72,0,0,0,0.04,0,0,-89.27,-94.08,105.11%,4.81,-69.23,,,0.00%,-611.26%,,,109.77%,554.78%,0,0,,0.18,-1.33,-1.54,113.56%,-1.1,3.29,4,-0.71,4,20.44,15.71,15.3,5.14,
后勤集团总裁室,战略支持中心,战略支持中心,后勤集团总裁室,后勤集团总裁室,339.22,339.22,100.00%,0,0,0,0,,0,0,0,,0,339.22,339.22,100.00%,0,100.00%,100.00%,0.00%,,129.19,289.91,44.56%,150.8,43.3,54.83,78.97%,-0.91,0.35,0,0,0.12,0,0,166.96,-5.52,3224.89%,172.48,-149.89,49.22%,-1.63%,50.85%,,38.09%,85.46%,44.56%,,2.63,1.17,224.40%,0,1.29,-0.02,6987.84%,-0.99,1.71,4,-2.29,3.71,75.36,40.6,72.48,2.89,
托管学校入模产品服务,科创发展中心,科创发展中心,托管学校入模产品服务,托管学校入模产品服务,2.17,0,,2.17,0,0,0,,0,0,0,,0,2.17,0,,0,100.00%,,100.00%,,0,0,,0,0,0,,0,0,0,0,0,0,0,2.17,0,0.00%,2.17,0,100.00%,,100.00%,,0.00%,,,,-1,-1,100.00%,,-1,-1,100.00%,,0,0,0,0,,,,,
景东配送,三大区域,西南区域,存量,景东配送,"3,471.83","3,534.66",98.22%,-62.83,"3,287.74","3,007.51","3,029.99",99.26%,"2,724.47",5.76,7.05,81.64%,0.77,464.32,504.67,92.00%,562.5,13.37%,14.28%,-0.90%,17.11%,139.8,172.96,80.83%,186.63,183.16,159.2,115.05%,152.29,1.17,0,1.12,0.44,2,0.01,136.33,163.46,83.40%,-27.13,224.68,3.93%,4.62%,-0.70%,6.83%,4.03%,4.89%,80.83%,5.68%,24.83,20.44,121.52%,17.62,0.98,0.95,103.18%,1.2,30.43,43,-12.57,37.29,4.59,5.01,4.02,0.57,
江陵配送,三大区域,西南区域,存量,江陵配送,"2,040.75","2,446.35",83.42%,-405.6,468.25,"1,679.46","1,897.82",88.49%,378.88,1.04,0,,0,361.29,548.53,65.86%,89.37,17.70%,22.42%,-4.72%,19.09%,120.68,154.63,78.05%,25.78,309.95,312.43,99.21%,58.01,0.55,0,0,0,0,0,-69.84,81.47,-85.73%,-151.31,5.58,-3.42%,3.33%,-6.75%,1.19%,5.91%,6.32%,78.05%,5.51%,16.91,15.82,106.88%,18.17,-0.58,0.53,-109.84%,0.22,26.86,38,-11.14,12,4.49,2.15,4.07,0.42,
陆良配送,三大区域,西南区域,存量,陆良配送,"1,795.39","2,579.96",69.59%,-784.57,0,"1,535.77","2,040.37",75.27%,0,7.9,10.6,74.52%,0,259.62,539.59,48.12%,0,14.46%,20.91%,-6.45%,,132.55,182.45,72.65%,0,185.48,230.07,80.62%,0,1.05,0,0,0,0,0,-65.25,116.47,-56.02%,-181.72,0,-3.63%,4.51%,-8.15%,,7.38%,7.07%,72.65%,,13.54,14.14,95.79%,,-0.49,0.64,-77.11%,,38.43,50,-11.57,0,3.45,,3.65,-0.2,
镇沅配送,三大区域,西南区域,增量,镇沅配送,224.33,895.04,25.06%,-670.71,0,213.14,860.42,24.77%,0,0,0,,0,11.19,34.62,32.33%,0,4.99%,3.87%,1.12%,,6.65,6.62,100.45%,0,1.4,3.21,43.56%,0,0,0,0,0,0,0,3.15,24.79,12.70%,-21.64,0,1.40%,2.77%,-1.37%,,2.96%,0.74%,100.45%,,33.75,135.24,24.95%,,0.47,3.75,12.65%,,0.43,0,0.43,0,15.51,,,,
长顺配送,三大区域,西南区域,增量,长顺配送,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,1.09,0,,0,0.15,0,,0,0,0,0,0,0,0,-1.25,0,0.00%,-1.25,0,,,0.00%,,,,,,0,-1,200.00%,,-1.14,-1,85.65%,,0.14,0,0.14,0,7.65,,,,
康铭景东一中餐厅,三大区域,西南区域,存量,康铭景东一中餐厅,460.42,515.01,89.40%,-54.59,502.97,-0.35,0,,0,296.36,335.68,88.29%,246.48,164.41,179.33,91.68%,256.49,35.71%,34.82%,0.89%,51.00%,99.34,107.37,92.52%,120.68,78,42.01,185.65%,24.67,0.4,0,1.96,0.16,0,0,-12.7,29.95,-42.41%,-42.65,113.1,-2.76%,5.82%,-8.57%,22.49%,21.58%,20.85%,92.52%,23.99%,4.63,4.8,96.62%,4.17,-0.13,0.28,-45.83%,0.94,32.29,38,-5.71,39,3.08,3.09,2.83,0.25,
元谋一中食堂,三大区域,西南区域,存量,元谋一中食堂,437.2,434.63,100.59%,2.57,443.36,0,0,,0,319.21,293.15,108.89%,212.27,117.99,141.47,83.40%,231.09,26.99%,32.55%,-5.56%,52.12%,79.44,88.2,90.07%,82.38,89.34,20.73,431.03%,33.72,18.22,0,0.14,18.21,0,0,-50.79,32.55,-156.05%,-83.34,115.12,-11.62%,7.49%,-19.11%,25.97%,18.17%,20.29%,90.07%,18.58%,5.5,4.93,111.68%,5.38,-0.64,0.37,-173.25%,1.4,30.71,36,-5.29,36.57,2.59,2.25,2.45,0.14,
皓峰无量初中店,三大区域,西南区域,存量,皓峰无量初中店,174.46,126.72,137.67%,47.74,74.71,120.35,88.93,135.33%,50.73,0,0,,0,54.11,37.79,143.19%,23.98,31.02%,29.82%,1.20%,32.10%,7.78,5.58,139.41%,2.79,4.7,6.39,73.46%,1.03,0.32,0,0.37,0.01,0,0,41.94,25.82,162.46%,16.12,20.52,24.04%,20.37%,3.67%,27.47%,4.46%,4.41%,139.41%,3.74%,22.41,22.7,98.75%,26.74,5.39,4.62,116.53%,7.35,3,3,0,1.71,2.59,1.63,1.86,0.73,
皓峰景东彝族海高店,三大区域,西南区域,存量,皓峰景东彝族海高店,334.01,388.31,86.02%,-54.3,382.61,228.85,273,83.83%,261.17,0,0,,0,105.16,115.31,91.20%,121.44,31.48%,29.70%,1.79%,31.74%,18.92,18.44,102.60%,19.88,6.34,3.39,187.00%,2.97,1.4,0,0.26,0.62,0,0,80.68,93.48,86.31%,-12.8,98.84,24.15%,24.07%,0.08%,25.83%,5.67%,4.75%,102.60%,5.20%,17.65,21.05,83.83%,19.24,4.26,5.07,84.12%,4.97,5.14,6,-0.86,6,3.68,3.31,3.07,0.61,
皓峰景东一中店,三大区域,西南区域,存量,皓峰景东一中店,266.91,194.57,137.18%,72.34,225.15,185.73,130.98,141.80%,151.86,0,0,,-10.65,81.18,63.59,127.66%,83.94,30.42%,32.68%,-2.27%,37.28%,18.58,21.42,86.73%,32.64,7.97,13.03,61.16%,5.78,1.69,0.28,0.42,0.01,0,0,56.32,29.43,191.38%,26.89,45.93,21.10%,15.12%,5.98%,20.40%,6.96%,11.01%,86.73%,14.50%,14.37,9.08,158.17%,6.9,3.03,1.37,220.67%,1.41,5.71,7,-1.29,8,3.25,4.08,3.06,0.19,
皓峰天等海高店,三大区域,西南区域,存量,皓峰天等海高店,302.32,245.89,122.95%,56.43,179.55,208.42,171.54,121.50%,125.22,0,0,,0,93.9,74.35,126.29%,54.32,31.06%,30.24%,0.82%,30.26%,14.37,15.86,90.56%,14.42,5.95,6.78,87.66%,6.47,1.2,0.23,0.25,0.1,0,0,74.69,51.94,143.81%,22.75,33.68,24.71%,21.12%,3.58%,18.76%,4.75%,6.45%,90.56%,8.03%,21.04,15.5,135.76%,12.45,5.2,3.27,158.80%,2.34,5,6,-1,4.71,2.87,3.06,2.64,0.23,
天等高中物业服务,三大区域,西南区域,增量,天等高中物业服务,7.73,18.03,42.86%,-10.3,0,0,0,,0,0,0,,0,7.73,18.03,42.85%,0,99.97%,100.00%,-0.03%,,0,0,,0,6.52,8.13,80.29%,0,0,0,0,0,0,0,1.2,9.91,12.11%,-8.71,0,15.52%,54.95%,-39.42%,,0.03%,0.00%,,,"3,718.13",-1,372013.37%,,577.2,-1,57920.06%,,0,0,0,0,,,,,
红培基地劳务派遣,三大区域,西南区域,增量,红培基地劳务派遣,77.78,78.39,99.22%,-0.61,0,0,0,,0,1.67,0,,0,-14.76,2.44,-604.78%,0,-18.97%,3.11%,-22.08%,,92.54,75.95,121.84%,0,1.13,0.36,313.46%,0,0,0,0,0,0,0,-17.55,2.08,-843.75%,-19.63,0,-22.56%,2.65%,-25.22%,,118.97%,96.89%,121.84%,,0.84,1.03,81.44%,,-0.19,0.03,-692.51%,,24.29,0,24.29,0,3.81,,,,
若尔盖食堂劳务外包,三大区域,西南区域,增量,若尔盖食堂劳务外包,491.45,490.75,100.14%,0.7,0,0,0,,0,1.64,0,,0,7.43,49.91,14.89%,0,1.51%,10.17%,-8.66%,,484.02,440.84,109.79%,0,18.12,17.2,105.33%,0,0,0,0,0,0,0,-12.33,32.71,-37.70%,-45.04,0,-2.51%,6.66%,-9.17%,,98.49%,89.83%,109.79%,,1.02,1.11,91.21%,,-0.03,0.07,-34.33%,,180,0,180,0,2.69,,,,
西南元谋集采项目,三大区域,西南区域,存量,西南元谋集采项目,51.54,0,,51.54,0,53.35,0,,0,0,0,,0,-1.81,0,,0,-3.51%,,-3.51%,,0,0,,0,0,0,,0,0,0,0,0,0,0,-1.81,0,0.00%,-1.81,0,-3.51%,,-3.51%,,0.00%,,,,-1,-1,100.00%,,-1,-1,100.00%,,0,0,0,0,,,,,
